name,nat:African:EastAfrican,nat:African:SouthAfrican,nat:African:WestAfrican,nat:CelticEnglish,nat:EastAsian:Chinese,nat:EastAsian:Indochina:Cambodia,nat:EastAsian:Indochina:Myanmar,nat:EastAsian:Indochina:Thailand,nat:EastAsian:Indochina:Vietnam,nat:EastAsian:Japan,nat:EastAsian:Malay:Indonesia,nat:EastAsian:Malay:Malaysia,nat:EastAsian:South Korea,nat:European:Baltics,nat:European:EastEuropean,nat:European:French,nat:European:German,nat:European:Italian:Italy,nat:European:Italian:Romania,nat:European:Russian,nat:European:SouthSlavs,nat:Greek,nat:Hispanic:Philippines,nat:Hispanic:Portuguese,nat:Hispanic:Spanish,nat:Jewish,nat:Muslim:ArabianPeninsula,nat:Muslim:Maghreb,nat:Muslim:Nubian,nat:Muslim:Pakistanis:Bangladesh,nat:Muslim:Pakistanis:Pakistan,nat:Muslim:Persian,nat:Muslim:Turkic:CentralAsian,nat:Muslim:Turkic:Turkey,nat:Nordic:Finland,nat:Nordic:Scandinavian:Denmark,nat:Nordic:Scandinavian:Norway,nat:Nordic:Scandinavian:Sweden,nat:SouthAsian,eth:2PRACE,eth:AIAN,eth:API,eth:Black,eth:Hispanic,eth:White
George Washington,0.02533975883330347,0.004989649211550053,0.010393521427302233,0.2881993933006511,0.0005081145996988559,4.1252868494355565e-05,9.168703053055275e-06,6.3407614241033755e-06,2.969829276112898e-07,0.00019336407760467883,0.00014426018538763597,0.000524673206403445,0.00012718540760996204,0.001042633805423247,0.0004267759987790403,0.027210232248976597,0.019816170503507317,0.001650675133041562,0.07562454281779231,0.001008345196909131,0.008896305835044077,0.5019243382476342,0.0022063641605186693,0.01202285604210608,0.0042054381031253795,0.0006325781631139209,0.00013061433993284463,9.77009260758949e-05,0.0003310814454360116,2.4153328058825748e-05,1.7142713574753254e-05,0.000374506168476101,8.588293955908476e-05,3.0957805703779585e-06,0.00045055715813039303,7.455334974904245e-05,0.00011149716241975886,9.966829317425052e-05,0.011055310573460554,0.0,0.0,0.001298618965874315,0.06858710622862514,0.003661582504936722,0.9264526923005638
Barack Obama,0.04714079051962797,0.004951823710456947,0.01811583652279792,0.08166696436879724,0.000615846073582133,0.004172879853367067,0.0008515960071205702,0.0005772959951162545,0.0004162769598810714,0.004576993178554901,0.023829534761589066,0.0054714202751909745,0.0008716444857099632,0.007460786779494637,0.010433213993101131,0.5001713892632657,0.023956616896629396,0.036542305691678094,0.012645327308731087,0.006371723712971865,0.005393581539681587,0.0010952836142608237,0.014897833756625489,0.06267482890942994,0.06618394047765137,0.006063770418748636,0.0017453064139109134,0.0029497221473328773,0.009894966052911562,0.0005502549453285515,0.0006553446036974002,0.0085049297436094,0.0019149049425245647,9.11286627808408e-05,0.0011154804847037418,0.0001534908297378665,0.00013969006316747753,9.171966302790776e-05,0.02504355637320517,0.0,0.0,0.0064582003126757515,0.08646974192013938,0.02034250535444788,0.886729552412737
Xi Jinping,0.003167965547131401,0.009165969682126076,0.0047535086380327005,0.10374507531559721,0.5247027813357292,0.005372603941143542,0.0014364591759637646,0.0010573219840239129,3.7982369003080875e-05,0.02317323429055156,0.04671009210884856,0.05478359024751269,0.011790456385732144,0.023781695487774805,0.0038869582993410214,0.00630260070022138,0.029249021899358327,0.0005981092260201837,0.000974461336522812,0.00287351519234063,0.003920150887953421,0.0021601784547059916,0.033699110045992575,0.004012054144358028,0.004445914980321886,0.029233682474274124,0.000809326258408035,0.002145069683671792,0.0008521771155140211,0.0005450205682417165,0.00040232199426211727,0.0009247498572559588,0.0012929712014524471,4.1781695640346886e-05,0.027916523033677188,0.005242034198025227,0.007191579167562285,0.005985129748277206,0.011616821327430586,0.0,0.0,0.1551517134589026,0.06792799232316053,0.01686865127391194,0.7600516429440249
Janet Lu,0.04529092208378866,0.009748791620721694,0.04845242319412495,0.6022320628650402,0.058532452062908635,0.0002696596144604445,6.069832323720606e-05,5.491687859111623e-05,6.728678964833053e-06,0.0004625698618678432,0.003591204921588377,0.005049544331808971,0.0013738109649341196,0.00214187497582573,0.0038105440013982248,0.007084811370593834,0.032947565189872526,0.0008646368115321409,0.0025964104394560106,0.0004463267453876874,0.0031173494269527346,0.0001446625129919789,0.08095214713854922,0.02077176718942037,0.04051264857344223,0.0010761864405327826,0.00021323479160000972,0.0002800048906804667,0.0002197791328307257,0.00013200330338817282,0.0001157176659676004,0.002376258485869142,0.0003191574583894885,1.8077827178238015e-05,0.002675762546088387,0.0010148298863565319,0.0011722514704518316,0.0013095149218509182,0.01856069140135624,0.0,0.0,0.00891691415262671,0.1277558478946589,0.020636481890682234,0.8426907560620323
Jeffrey Martin,0.02269318730948142,0.0044969927955855115,0.0052587652726568315,0.5527143612591523,0.006450700700556946,9.250004184815017e-05,2.4322003527798003e-05,1.8565291814929272e-05,3.309847401544584e-06,7.035912610461782e-05,0.006689514471193403,0.004881216117259123,6.24639153690935e-05,0.0020004229390863707,0.012024579639304846,0.0933149466730571,0.08092254076316892,0.000838304759916122,0.0012718780672231502,0.000352924840350068,0.0009256504968490812,4.9986551452258896e-05,0.04568533615718809,0.004008542353167855,0.14858356459358474,0.000240937643157539,3.1269902536888814e-05,3.053778751058901e-05,1.940652758883379e-05,6.1910438963818565e-06,4.050944851254914e-06,0.0004221228410373167,7.655161044843538e-05,5.347606657194918e-06,0.0005562364118772521,0.001498752547472457,0.000858433928405174,0.0012128034473915935,0.0016024217708686935,0.0,0.0,0.001986730353863892,0.043437575576970956,0.0310958497768508,0.9234798442923143
